ID,Name,Email,Phone,Resume
151,Elliana Jimenez,elliana.jimenez.5232@gmail.com,615-326-1710,Name: Elliana Jimenez Email: elliana.jimenez.11202@gmail.com Phone: 470-625-2786  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and results-driven Preschool Teacher with a proven track record of fostering early childhood development through innovative lesson planning  engaging activities  and clear behavioral frameworks. Adept at creating a nurturing and stimulating learning environment  I excel at collaborating with parents and colleagues to drive measurable growth and ensure every child reaches their full potential.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Creative Learning Strategies  and Inclusive Education Practices  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented dynamic  theme-based lesson plans that sparked curiosity  critical thinking  and hands-on problem-solving in young learners - Spearheaded collaborative group projects that fostered teamwork  creativity  and a sense of achievement among students - Built strong partnerships with parents through regular progress updates  actionable insights  and tailored strategies to support each child’s development - Championed a positive classroom culture by integrating social-emotional learning and conflict resolution techniques  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Streamlined daily classroom operations by organizing and preparing high-quality instructional materials  ensuring seamless lesson delivery - Supported classroom management by reinforcing discipline and procedures  creating a safe and structured environment for focused learning - Assisted lead teacher in assessing student progress and adapting teaching methods to meet diverse learning needs  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals and measurable outcomes) - Child Development Assessment and Progress Tracking - Conflict Resolution and Social-Emotional Learning Integration - Collaborative Family Engagement and Communication - Multilingual Proficiency (English  German  Spanish) - Creative Problem-Solving and Adaptability  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about sustainability and integrating eco-friendly practices into early education - Certified in First Aid and Child Safety Protocols
152,Iris Collins,iris.collins.2211@gmail.com,967-511-7984,Name: Iris Collins Email: iris.collins.11202@gmail.com Phone: 758-131-1996  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and dedicated Preschool Teacher with a proven track record of fostering early childhood development through innovative lesson planning  engaging activities  and effective behavioral strategies. My expertise lies in creating a nurturing and stimulating environment that encourages curiosity  collaboration  and measurable growth. I excel at building strong partnerships with parents and colleagues to ensure every child thrives.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Creative Learning Strategies  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented dynamic lesson plans that cultivate critical thinking  creativity  and hands-on problem-solving skills in young learners - Spearheaded group projects that emphasized teamwork  communication  and goal achievement  resulting in a 20% increase in peer collaboration - Established a robust feedback loop with parents  providing detailed progress reports and actionable insights to support each child’s development - Introduced eco-conscious activities that integrated environmental awareness into daily learning  fostering a sense of responsibility and curiosity  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Streamlined classroom operations by organizing and preparing instructional materials  ensuring seamless lesson delivery and optimal learning outcomes - Supported classroom management by reinforcing discipline and procedures  creating a safe and structured environment for focused learning - Assisted lead teacher in implementing engaging activities that catered to diverse learning styles  enhancing student participation and retention  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals and measurable outcomes) - Child Development Assessment (e.g.  tracking milestones and tailoring interventions) - Conflict Resolution (e.g.  mediating disputes and fostering emotional intelligence) - Collaboration with Families (e.g.  building trust and maintaining open communication) - Eco-Education Integration (e.g.  incorporating sustainability into early learning)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Languages: Fluent in English and German - Certifications: Early Childhood Education Certification  Eco-Learning Workshop Completion
153,Ashley Alvarez,ashley.alvarez.1122@gmail.com,722-251-2076,Name: Ashley Alvarez Email: ashley.alvarez.1221@gmail.com Phone: 554-175-2323  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and results-driven Preschool Teacher with a talent for crafting structured lesson plans  designing engaging activities  and establishing clear behavioral guidelines to nurture early childhood development. Adept at fostering collaborative relationships with parents and colleagues  I create high-quality learning environments that inspire measurable growth and lifelong curiosity in young learners.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Creative Learning Strategies  and Inclusive Education Practices  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented innovative lesson plans that cultivate critical thinking  creativity  and hands-on problem-solving skills in young learners - Spearheaded goal-oriented group projects to encourage peer collaboration  teamwork  and a sense of achievement among students - Built strong partnerships with parents through proactive communication  sharing progress metrics and actionable strategies to support each child’s development  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Streamlined daily classroom operations by organizing and preparing instructional materials  ensuring seamless lesson delivery and maximum efficiency - Championed a safe and structured learning environment by reinforcing classroom discipline and procedures  enabling students to thrive academically and socially  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals and measurable outcomes) - Child Development Assessment and Progress Tracking - Conflict Resolution and Emotional Support for Young Learners - Collaborative Family Engagement and Communication Strategies - Multilingual Proficiency (English  German  Spanish) - Eco-Conscious Learning Practices  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about integrating sustainability and nature-based learning into early education - Certified in First Aid and Child Safety Protocols
154,Adeline Richardson,adeline.richardson.12@gmail.com,490-711-9692,Name: Adeline Richardson Email: adeline.richardson.1221@gmail.com Phone: 748-699-9984  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and dedicated Preschool Teacher with a proven track record of fostering early childhood development through innovative lesson planning  engaging activities  and effective behavioral strategies. Adept at creating a nurturing and stimulating learning environment  I excel in collaborating with parents and colleagues to drive measurable growth and ensure every child reaches their full potential.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present  - Designed and implemented dynamic lesson plans that cultivate critical thinking and hands-on problem-solving skills  tailored to individual learning styles - Facilitated goal-oriented group projects that encouraged peer collaboration  teamwork  and a sense of achievement among students - Maintained consistent and transparent communication with parents  providing detailed progress reports and actionable recommendations for continued growth  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015  - Streamlined daily classroom operations by organizing and preparing instructional materials  ensuring seamless lesson delivery and maximum efficiency - Supported classroom discipline and procedures  fostering a safe and structured environment that promoted focused learning and positive behavior  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals) - Child Development Assessment - Conflict Resolution - Collaboration with Families  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
155,Rylee Cook,rylee.cook.22011@gmail.com,973-770-4522,Name: Rylee Cook Email: rylee.cook.2211@gmail.com Phone: 719-540-2624  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and dedicated Preschool Teacher with a proven track record of fostering early childhood development through innovative lesson planning  engaging activities  and effective behavioral strategies. My expertise lies in creating a nurturing and stimulating learning environment that encourages curiosity  creativity  and measurable growth. I excel in collaborating with parents and colleagues to ensure each child reaches their full potential.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Creative Curriculum Development  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present  - Designed and implemented dynamic lesson plans that promote critical thinking  problem-solving  and hands-on learning experiences - Facilitated goal-oriented group projects to encourage peer collaboration  teamwork  and a sense of achievement among students - Maintained consistent and proactive communication with parents  providing detailed progress reports and actionable recommendations for continued growth  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015  - Organized and prepared instructional materials to enhance daily lessons  ensuring a seamless and efficient classroom experience - Supported classroom discipline and procedures  creating a safe and structured environment that fosters focused learning and positive behavior  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals and measurable outcomes) - Child Development Assessment (e.g.  tracking milestones and tailoring support to individual needs) - Conflict Resolution (e.g.  mediating disputes and teaching emotional regulation techniques) - Collaboration with Families (e.g.  building strong partnerships to support holistic child development)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Fluent in English and German  with basic proficiency in French - Certified in First Aid and Child Safety Protocols
156,Eliza Robinson,eliza.robinson.1221@gmail.com,525-847-2557,Name: Eliza Robinson Email: eliza.robinson.22011@gmail.com Phone: 523-447-8430  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and results-driven Preschool Teacher with a talent for crafting structured lesson plans  designing engaging activities  and establishing clear behavioral guidelines to nurture early childhood development. Skilled in fostering collaborative relationships with parents and colleagues  I create high-quality learning environments that inspire measurable growth and lifelong curiosity in young learners.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Creative Learning Strategies  and Inclusive Education Practices  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present  - Designed and implemented innovative  systematic lesson plans to cultivate critical thinking  creativity  and hands-on problem-solving skills in young learners - Spearheaded goal-oriented group projects that encouraged peer collaboration  teamwork  and a sense of achievement among students - Maintained proactive and transparent communication with parents  providing detailed progress metrics and actionable recommendations for continued growth - Introduced eco-conscious activities and themes to align with the center’s mission  fostering environmental awareness in early learners  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015  - Organized and prepared dynamic instructional materials to enhance daily lessons  ensuring seamless classroom operations and maximum engagement - Reinforced classroom discipline and procedures  creating a safe and structured environment that supported focused learning and positive behavior - Assisted lead teacher in assessing individual student needs  tailoring support to promote academic and social-emotional development  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals and measurable outcomes) - Child Development Assessment and Progress Tracking - Conflict Resolution and Emotional Support for Young Learners - Collaboration with Families and Multidisciplinary Teams - Eco-Education Integration and Sustainability Awareness  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable) - Languages: Fluent in English and German  with basic proficiency in French - Certifications: Early Childhood Education Certification  First Aid and CPR Certified - Passionate about fostering creativity  inclusivity  and environmental stewardship in early education
157,Daisy Green,daisy.green.2211@gmail.com,803-585-2099,Name: Daisy Green Email: daisy.green.1122@gmail.com Phone: 781-361-7132  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and innovative Preschool Teacher dedicated to nurturing young minds through creative lesson planning  interactive activities  and a structured yet compassionate approach to early childhood education. With a proven ability to foster measurable growth  I excel at building strong partnerships with parents and colleagues to create a vibrant  high-quality learning environment where every child thrives.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present  - Designed and implemented dynamic lesson plans that inspire critical thinking  creativity  and hands-on problem-solving  tailored to individual learning styles - Spearheaded goal-oriented group projects that cultivate teamwork  leadership  and a sense of achievement among students - Built trust and collaboration with parents through regular progress updates  actionable insights  and personalized strategies for continued growth - Championed a positive classroom culture by integrating behavioral guidelines that promote respect  empathy  and self-discipline  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015  - Streamlined daily classroom operations by organizing and preparing engaging instructional materials  ensuring seamless lesson delivery - Supported classroom management by reinforcing discipline and procedures  creating a safe and focused learning environment - Assisted lead teacher in assessing student progress and adapting activities to meet diverse developmental needs  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals and measurable outcomes) - Child Development Assessment (e.g.  tracking milestones and tailoring interventions) - Conflict Resolution (e.g.  mediating peer disputes and fostering emotional intelligence) - Collaboration with Families (e.g.  building strong parent-teacher partnerships for holistic child development) - Multilingual Communication (e.g.  English  German  and French proficiency for diverse classroom settings)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about sustainability and integrating eco-friendly practices into early education - Certified in First Aid and Child Safety Protocols
158,Aurora Lopez,aurora.lopez.2211@gmail.com,669-161-6400,Name: Aurora Lopez Email: aurora.lopez.1122@gmail.com Phone: 542-198-7105  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and results-driven Preschool Teacher with a proven track record of crafting structured lesson plans  designing engaging activities  and establishing clear behavioral guidelines to nurture early childhood development. Adept at fostering collaborative relationships with parents and colleagues to create a high-quality learning environment that inspires measurable growth and lifelong curiosity in young learners.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Creative Learning Strategies  and Inclusive Education Practices  Experience: Preschool Teacher Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented innovative  systematic lesson plans to cultivate critical thinking  creativity  and hands-on problem-solving skills in young learners - Spearheaded goal-oriented group projects that encouraged peer collaboration  teamwork  and a sense of achievement among students - Maintained consistent  proactive communication with parents  providing detailed progress metrics and actionable recommendations to support each child’s development - Introduced eco-conscious activities and nature-based learning experiences to align with the center’s mission of sustainability and environmental awareness  Assistant Teacher Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Organized and prepared dynamic instructional materials to enhance daily lessons  ensuring seamless classroom operations and maximum student engagement - Reinforced classroom discipline and procedures  creating a safe  structured  and supportive environment for focused learning and exploration - Supported lead teachers in implementing creative learning strategies  fostering a positive and inclusive classroom culture  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals and measurable outcomes) - Child Development Assessment and Progress Tracking - Conflict Resolution and Emotional Support for Young Learners - Collaboration with Families and Multidisciplinary Teams - Eco-Friendly and Nature-Based Learning Integration  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Fluent in English  German  and Spanish - Passionate about sustainability  outdoor education  and fostering a love for learning in young children
159,Bella Rivera,bella.rivera.1221@gmail.com,394-714-6119,Name: Bella Rivera Email: bella.rivera.11@gmail.com Phone: 994-781-7929  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and results-driven Preschool Teacher with a proven track record of creating dynamic  engaging learning environments that inspire young minds. Specializing in structured lesson planning  interactive activities  and clear behavioral guidelines  I am dedicated to fostering early childhood development through innovative teaching methods. Skilled in collaborating with parents and colleagues  I consistently deliver measurable growth and maintain a high-quality  nurturing educational experience for every child.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Creative Learning Strategies  and Inclusive Education Practices  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented systematic  theme-based lesson plans to cultivate critical thinking  creativity  and hands-on problem-solving skills in young learners - Spearheaded goal-oriented group projects that encouraged peer collaboration  teamwork  and a sense of achievement among students - Maintained consistent  proactive communication with parents  providing detailed progress reports and actionable recommendations to support each child’s development - Introduced eco-friendly learning initiatives  integrating sustainability concepts into daily activities to inspire environmental awareness from an early age  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Organized and prepared engaging instructional materials  ensuring seamless lesson delivery and optimal classroom efficiency - Supported classroom discipline and procedures  fostering a safe  structured  and focused learning environment - Assisted lead teacher in assessing student progress and tailoring activities to meet individual learning needs - Built strong rapport with students  creating a welcoming atmosphere that encouraged curiosity and active participation  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals and measurable outcomes) - Child Development Assessment and Progress Tracking - Conflict Resolution and Emotional Support Strategies - Collaboration with Families and Multidisciplinary Teams - Eco-Friendly Education and Sustainability Integration  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Languages: Fluent in English  German  and Spanish - Certifications: Early Childhood Education Certification  First Aid and CPR Certified - Passionate about fostering creativity  inclusivity  and lifelong learning in young children
160,Ellie Kelly,ellie.kelly.1221@gmail.com,329-967-2773,Name: Ellie Kelly Email: ellie.kelly.11202@gmail.com Phone: 619-317-3535  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and results-driven Preschool Teacher with a proven track record of fostering early childhood development through innovative lesson planning  engaging activities  and clear behavioral guidelines. Adept at creating a nurturing and stimulating learning environment  I excel in collaborating with parents and colleagues to ensure measurable growth and a high-quality educational experience for every child.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented systematic lesson plans that promote critical thinking  creativity  and hands-on problem-solving  resulting in a 20% improvement in student engagement - Facilitated goal-oriented group projects that encouraged peer collaboration  teamwork  and a sense of achievement  fostering a positive and inclusive classroom culture - Maintained proactive and transparent communication with parents  providing detailed progress metrics and actionable next steps to support each child's development  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Organized and prepared instructional materials to streamline daily lessons  ensuring maximum classroom efficiency and a smooth learning experience - Reinforced classroom discipline and procedures  creating a secure and structured environment that allowed students to focus and thrive  Skills: - Curriculum Design (e.g.  thematic lesson plans with structured goals) - Child Development Assessment - Conflict Resolution - Collaboration with Families  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
