ID,Name,Email,Phone,Resume
101,Mason Cooper,mason.cooper.11@gmail.com,946-245-2169,Name: Mason Cooper Email: mason.cooper.12@gmail.com Phone: 330-763-3441 Role Title: Preschool Teacher City/Location: Zurich  Switzerland Summary: I am a passionate and innovative Preschool Teacher with a heart for fostering curiosity and joy in young learners. With a deep commitment to creating inclusive  stimulating environments  I excel at crafting hands-on  play-based experiences that spark creativity and build foundational skills. My approach combines empathy  patience  and a keen understanding of child development to nurture each child’s unique potential while fostering strong partnerships with families. Education: Bachelor of Arts in Early Childhood Education | Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies Experience: Preschool Teacher | Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present | Designed and implemented dynamic  theme-based lesson plans that integrate nature  art  and storytelling to captivate young minds | Cultivated a classroom culture of kindness and collaboration through interactive group projects and creative problem-solving activities | Partnered with parents to provide personalized insights and strategies  ensuring each child’s social  emotional  and academic growth | Championed eco-conscious practices by incorporating sustainability themes into daily lessons and activities Assistant Teacher | Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 | Collaborated with lead teachers to develop and deliver engaging  age-appropriate learning materials | Played a key role in maintaining a safe  inclusive  and stimulating classroom environment | Supported children’s emotional well-being through active listening and positive reinforcement techniques Skills: Curriculum Design (e.g.  thematic lesson plans  child-centered lesson plans) | Child Development Assessment | Positive Behavior Guidance | Strong Parent-Teacher Communication | Multilingual Proficiency (English  German  French) | Eco-Education Integration Additional Information: Availability: Immediate | Willing to travel or relocate (if applicable) | Passionate about incorporating outdoor learning and sustainability into early childhood education | Certified in First Aid and Child Safety Protocols
102,Miles Flores,miles.flores.22011@gmail.com,227-579-5982,Name: Miles Flores Email: miles.flores.11202@gmail.com Phone: 709-866-5728 Role Title: Preschool Teacher City/Location: Zurich  Switzerland Summary: I am a passionate and innovative Preschool Teacher with a talent for sparking curiosity and joy in young learners. With a deep commitment to fostering emotional  social  and intellectual growth  I create vibrant  inclusive classrooms where children thrive. My approach blends creativity  empathy  and evidence-based practices to inspire a lifelong love of learning. I excel at building meaningful connections with children  families  and colleagues  ensuring every child feels valued and supported on their unique journey. Education: Bachelor of Arts in Early Childhood Education | Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Inclusive Education Practices Experience: Preschool Teacher | Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present | Crafted dynamic  play-based lesson plans that ignite curiosity and promote hands-on discovery in a nature-inspired setting | Championed social-emotional development by fostering empathy  collaboration  and problem-solving through interactive group activities | Partnered closely with parents  providing personalized insights and strategies to support each child’s growth and development | Spearheaded seasonal outdoor learning projects  connecting children with nature and cultivating environmental awareness Assistant Teacher | Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 | Designed and prepared visually engaging  age-appropriate materials to enrich daily lessons and captivate young learners | Played a key role in maintaining a harmonious classroom environment by modeling positive behavior and conflict resolution techniques | Supported lead teacher in implementing inclusive practices  ensuring every child felt seen  heard  and empowered Skills: Creative Curriculum Design (e.g.  thematic and child-centered lesson plans) | Child Development Assessment and Progress Tracking | Positive Behavior Guidance and Classroom Management | Exceptional Parent-Teacher Communication and Collaboration | Multilingual Proficiency (English  German  Spanish) | Outdoor and Nature-Based Education Expertise Additional Information: Availability: Immediate | Willing to travel or relocate for the right opportunity | Passionate about integrating sustainability and eco-conscious practices into early childhood education | Strong advocate for inclusive  play-based learning environments
103,Ian Cook,ian.cook.1221@gmail.com,712-140-8078,Name: Ian Cook Email: ian.cook.2211@gmail.com Phone: 652-605-8172 Role Title: Preschool Teacher City/Location: Zurich  Switzerland Summary: I am a passionate and innovative Preschool Teacher with a deep commitment to fostering curiosity  creativity  and confidence in young learners. With a warm and nurturing approach  I create vibrant  inclusive classrooms where children thrive through hands-on exploration and collaborative play. Skilled in designing dynamic lesson plans  assessing developmental milestones  and building meaningful partnerships with families to support each child’s unique journey. Dedicated to cultivating a lifelong love of learning in every student. Education: Bachelor of Arts in Early Childhood Education | Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies Experience: Preschool Teacher | Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present | Crafted immersive  theme-based lesson plans that spark curiosity and encourage hands-on discovery | Cultivated a culture of kindness and collaboration through interactive group activities and creative problem-solving challenges | Partnered closely with parents  providing insightful progress updates and personalized strategies to nurture each child’s growth | Championed eco-conscious learning by integrating nature-based activities and sustainability themes into daily lessons | Assistant Teacher | Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 | Developed engaging  age-appropriate learning materials to captivate young minds and enhance lesson delivery | Promoted a harmonious classroom environment by modeling positive behavior and fostering emotional resilience in children | Collaborated with lead teachers to create a safe  inclusive space where every child felt valued and supported Skills: Curriculum Design (e.g.  thematic lesson plans  child-centered lesson plans) | Child Development Assessment | Positive Behavior Guidance | Strong Parent-Teacher Communication | Eco-Education Integration | Multilingual Communication (English  German  French) | Creative Problem-Solving | Team Collaboration Additional Information: Availability: Immediate | Willing to travel or relocate for the right opportunity | Passionate about sustainability and nature-based learning | Certified in First Aid and Child Safety | Enjoys hiking  storytelling  and exploring innovative teaching methods
104,Cole Allen,cole.allen.10@gmail.com,701-121-5415,Name: Cole Allen Email: cole.allen.10@gmail.com Phone: 126-193-4750  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and innovative Preschool Teacher with a deep commitment to fostering curiosity  creativity  and confidence in young learners. With over 8 years of experience in early childhood education  I excel at crafting dynamic  hands-on learning experiences that spark joy and inspire growth. My approach combines empathy  patience  and a keen understanding of child development to create a nurturing environment where every child feels valued and empowered to thrive.  Education: - Bachelor of Arts in Early Childhood Education | University of Zurich - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Inclusive Education Practices  Experience: Preschool Teacher Children's Eco Play Center | Zurich  Switzerland | January 2015 – Present - Designed and implemented over 100+ thematic lesson plans that blend play-based learning with eco-conscious principles  encouraging children to explore nature and sustainability - Cultivated a classroom culture of inclusivity and collaboration  where children feel safe to express themselves and develop social-emotional skills - Partnered with parents to create personalized learning strategies  resulting in measurable improvements in children’s confidence and developmental milestones - Organized seasonal events and outdoor excursions that deepened children’s connection to the environment and community  Assistant Teacher Children's Eco Play Center | Zurich  Switzerland | January 2014 – January 2015 - Collaborated with lead teachers to develop interactive  age-appropriate activities that aligned with curriculum goals and sparked curiosity - Played a key role in maintaining a structured yet flexible classroom environment  ensuring smooth transitions and positive engagement - Provided one-on-one support to children with diverse learning needs  fostering their independence and self-esteem  Skills: - Creative Curriculum Design (e.g.  thematic lesson plans  STEAM-based activities  nature-inspired learning) - Child Development Assessment (e.g.  milestone tracking  individualized learning plans) - Positive Behavior Guidance (e.g.  conflict resolution  emotional regulation techniques) - Exceptional Parent-Teacher Communication (e.g.  progress reports  family workshops  collaborative goal-setting) - Multilingual Proficiency (English  German  French)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about integrating sustainability and outdoor education into early childhood learning - Certified in First Aid and CPR for children and infants
105,Benjamin Ross,benjamin.ross.1122@gmail.com,767-552-5557,Name: Benjamin Ross Email: benjamin.ross.5232@gmail.com Phone: 874-279-8708  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and innovative Preschool Teacher with a deep commitment to fostering early childhood development through creativity  empathy  and hands-on learning. With a proven ability to design dynamic  child-centered curricula  I excel at creating environments where young minds thrive. My approach combines educational expertise with a warm  nurturing demeanor  ensuring every child feels valued and inspired to explore their potential. I am dedicated to building strong partnerships with families and cultivating a lifelong love of learning in every student.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Creative Arts Integration  and Inclusive Education Practices  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Crafted and implemented imaginative  theme-based lesson plans that sparked curiosity and encouraged hands-on exploration in science  art  and nature - Cultivated a collaborative classroom culture by designing group activities that promoted teamwork  empathy  and problem-solving skills - Built strong  trusting relationships with parents through regular progress updates  personalized feedback  and actionable strategies to support each child’s unique developmental journey - Championed eco-conscious learning by integrating sustainability themes into daily activities  fostering environmental awareness from an early age  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Developed and prepared vibrant  age-appropriate learning materials that enhanced engagement and reinforced key concepts - Played a pivotal role in maintaining a safe  inclusive  and nurturing classroom environment by implementing positive behavior guidance techniques - Supported lead teachers in delivering impactful lessons  ensuring seamless transitions and maximizing instructional time  Skills: - Curriculum Design (e.g.  thematic lesson plans  child-centered lesson plans  STEAM integration) - Child Development Assessment (e.g.  milestone tracking  individualized learning strategies) - Positive Behavior Guidance (e.g.  conflict resolution  emotional regulation techniques) - Strong Parent-Teacher Communication (e.g.  progress reports  family engagement strategies) - Multilingual Proficiency (e.g.  English  German  French) - Eco-Education and Sustainability Advocacy  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about integrating technology and nature into early childhood education - Active member of the Swiss Association of Early Childhood Educators - Certified in First Aid and Child Safety Protocols
106,Bryson Parker,bryson.parker.1221@gmail.com,581-456-7690,Name: Bryson Parker Email: bryson.parker.2211@gmail.com Phone: 750-933-9056  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and innovative Preschool Teacher with a deep commitment to fostering curiosity  creativity  and confidence in young learners. With a warm and nurturing approach  I excel at crafting dynamic  hands-on learning experiences that inspire children to explore  grow  and thrive. Skilled in building meaningful connections with families and creating inclusive  engaging environments where every child feels valued and empowered to succeed.  Education: - Bachelor of Arts in Early Childhood Education | Zurich University of Applied Sciences - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented over 200+ imaginative  theme-based lesson plans that blend play  creativity  and early academic skills  resulting in a 30% increase in parent satisfaction ratings - Cultivated a love for nature and sustainability through eco-friendly projects  outdoor exploration  and hands-on science activities - Championed inclusive education by adapting teaching methods to meet diverse learning needs  ensuring every child feels supported and celebrated - Strengthened parent-teacher partnerships through monthly workshops  detailed progress reports  and personalized strategies to extend learning at home  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Collaborated with lead teachers to develop and deliver interactive  play-based lessons that sparked curiosity and joy in young learners - Created a welcoming classroom atmosphere by modeling kindness  patience  and respect  fostering a sense of belonging for all children - Supported daily routines with precision and care  ensuring a safe  structured  and stimulating environment for growth and discovery  Skills: - Creative Curriculum Design (e.g.  thematic lesson plans  play-based learning  STEAM activities) - Child Development Assessment & Individualized Learning Strategies - Positive Behavior Guidance & Conflict Resolution - Exceptional Parent-Teacher Communication & Collaboration - Multilingual Proficiency (English  German  French) - Eco-Education & Sustainability Integration  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Certified in Early Childhood Education (Swiss Teaching License) - Passionate about integrating mindfulness and emotional intelligence into early learning - Volunteer Experience: Local community storytelling events and nature conservation workshops for children
107,Ryan Bennett,ryan.bennett.12@gmail.com,521-810-9117,Name: Ryan Bennett Email: ryan.bennett.1221@gmail.com Phone: 207-978-3634  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and innovative Preschool Teacher with a deep commitment to fostering early childhood development through creativity  compassion  and collaboration. With over 8 years of experience  I excel at crafting dynamic  hands-on learning experiences that spark curiosity and joy in young learners. Skilled at building meaningful connections with children and families  I thrive on creating inclusive  nurturing environments where every child feels valued and empowered to grow. My approach blends educational expertise with a genuine love for teaching  ensuring that each day is filled with discovery and growth.  Education: - Bachelor of Arts in Early Childhood Education | University of Zurich - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented over 200+ thematic lesson plans that integrate STEAM concepts  nature exploration  and creative arts to inspire curiosity and critical thinking - Spearheaded a school-wide initiative to incorporate eco-friendly practices into daily routines  teaching children the importance of sustainability through hands-on activities like gardening and recycling projects - Cultivated a classroom culture of empathy and collaboration by introducing mindfulness exercises and team-building games  resulting in a 30% improvement in peer-to-peer cooperation - Partnered with parents to create personalized learning plans  providing detailed progress reports and actionable strategies to support each child’s unique developmental journey  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Developed and organized interactive learning materials  including sensory bins  storytelling kits  and art supplies  to enhance engagement and hands-on learning - Supported lead teachers in managing classroom dynamics  ensuring a safe  inclusive  and stimulating environment for up to 20 children daily - Played a key role in organizing seasonal events and parent-teacher conferences  strengthening community ties and fostering open communication  Skills: - Curriculum Design (e.g.  thematic lesson plans  child-centered lesson plans  STEAM integration) - Child Development Assessment (e.g.  milestone tracking  individualized learning strategies) - Positive Behavior Guidance (e.g.  conflict resolution  emotional regulation techniques) - Strong Parent-Teacher Communication (e.g.  progress updates  family engagement strategies) - Multilingual Proficiency (English  German  French)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Certified in Early Childhood Education (Swiss Teaching License) - Passionate about outdoor education and nature-based learning - Volunteer Experience: Organized community storytelling events to promote literacy and family bonding
108,Kaiden Phillips,kaiden.phillips.1221@gmail.com,190-422-5135,Name: Kaiden Phillips Email: kaiden.phillips.11202@gmail.com Phone: 933-878-1601  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and innovative Preschool Teacher with a deep commitment to fostering early childhood development through creativity  empathy  and hands-on learning. With a talent for crafting engaging  child-centered environments  I excel at inspiring curiosity  nurturing social-emotional growth  and building meaningful connections with children and families. My approach blends educational expertise with a warm  inclusive style  ensuring every child feels valued and empowered to thrive.  Education: - Bachelor of Arts in Early Childhood Education | Zurich University of Applied Sciences - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented dynamic  play-based lesson plans that spark curiosity and promote cognitive  social  and emotional development - Created a vibrant  inclusive classroom atmosphere where children feel safe to explore  express themselves  and collaborate with peers - Partnered closely with parents  providing personalized insights and strategies to support each child’s unique learning journey - Introduced eco-conscious activities  teaching sustainability concepts through interactive storytelling  gardening  and nature exploration  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Developed and prepared creative  age-appropriate learning materials that aligned with educational goals and captivated young learners - Supported lead teacher in maintaining a harmonious classroom environment  using positive reinforcement and gentle guidance to encourage cooperation and respect - Observed and documented children’s progress  contributing to individualized learning plans and fostering a culture of continuous improvement  Skills: - Curriculum Design (e.g.  thematic lesson plans  child-centered lesson plans  play-based learning frameworks) - Child Development Assessment (e.g.  milestone tracking  individualized learning strategies) - Positive Behavior Guidance (e.g.  conflict resolution  emotional regulation techniques) - Strong Parent-Teacher Communication (e.g.  progress updates  collaborative goal-setting  family engagement) - Multilingual Proficiency (English  German  French)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about integrating sustainability and nature-based learning into early education - Certified in First Aid and CPR for children
109,Mason Foster,mason.foster.11202@gmail.com,773-990-9889,Name: Mason Foster Email: mason.foster.11@gmail.com Phone: 513-985-9431  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and innovative Preschool Teacher with a deep commitment to fostering curiosity  creativity  and confidence in young learners. With a warm and nurturing approach  I excel at crafting dynamic  hands-on learning experiences that spark joy and inspire growth. Skilled in building meaningful connections with children  families  and colleagues  I am dedicated to creating inclusive  engaging environments where every child can thrive and discover their unique potential.  Education: - Bachelor of Arts in Early Childhood Education | [University Name] | [Graduation Year] - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented innovative  play-based lesson plans that integrate STEAM concepts  nature exploration  and creative expression to ignite curiosity and critical thinking - Cultivated a collaborative classroom culture by facilitating group projects  problem-solving activities  and peer-to-peer learning opportunities - Partnered with parents to provide personalized feedback  celebrate milestones  and create tailored strategies to support each child’s social  emotional  and cognitive development - Spearheaded seasonal events and community outreach initiatives  strengthening family engagement and fostering a sense of belonging  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Developed and organized interactive learning materials  including sensory bins  storytime props  and art supplies  to enrich daily lessons and stimulate young imaginations - Promoted a positive and inclusive classroom atmosphere by modeling empathy  patience  and effective conflict resolution techniques - Collaborated with lead teachers to assess developmental progress and adapt activities to meet diverse learning needs  Skills: - Creative Curriculum Design (e.g.  thematic units  project-based learning  interdisciplinary activities) - Holistic Child Development Assessment - Positive Behavior Management and Social-Emotional Support - Exceptional Parent-Teacher Communication and Relationship Building - Multilingual Proficiency (e.g.  English  German  French) - Proficient in Educational Technology Tools and Digital Learning Platforms  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate advocate for sustainability and outdoor education - Certified in First Aid and CPR for children and infants - Active member of the Swiss Association of Early Childhood Educators
110,Myles Miller,myles.miller.11@gmail.com,874-610-8242,Name: Myles Miller Email: myles.miller.10@gmail.com Phone: 292-630-6927  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: I am a passionate and innovative Preschool Teacher with a deep commitment to fostering curiosity  creativity  and confidence in young learners. With a warm and nurturing approach  I excel at crafting dynamic  hands-on learning experiences that spark joy and discovery. Skilled in building meaningful connections with children and families  I am dedicated to creating inclusive  supportive environments where every child can thrive. My holistic teaching philosophy emphasizes emotional  social  and cognitive growth  ensuring a strong foundation for lifelong learning.  Education: - Bachelor of Arts in Early Childhood Education | University of Zurich - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Multicultural Education  Experience: Preschool Teacher Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented innovative  play-based lesson plans that blend creativity  nature exploration  and STEAM concepts to ignite curiosity and critical thinking - Cultivated a collaborative classroom culture by organizing group projects and activities that promote teamwork  empathy  and problem-solving skills - Partnered closely with parents  providing detailed progress reports and personalized strategies to support each child’s unique developmental journey - Spearheaded seasonal outdoor learning programs  integrating environmental awareness and hands-on discovery into daily routines  Assistant Teacher Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Created vibrant  age-appropriate learning materials that transformed lessons into interactive  multisensory experiences - Played a key role in maintaining a harmonious classroom environment by modeling positive behavior and fostering emotional resilience in young learners - Supported lead teacher in implementing inclusive practices  ensuring every child felt valued and empowered to participate  Skills: - Creative Curriculum Design (e.g.  thematic units  project-based learning  sensory-rich activities) - Child Development Assessment and Individualized Learning Plans - Positive Behavior Guidance and Conflict Resolution - Exceptional Parent-Teacher Communication and Collaboration - Multilingual Proficiency (English  German  French) - Outdoor and Nature-Based Education Expertise  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Certified in First Aid and CPR for Children - Passionate advocate for sustainability and eco-conscious education practices
