ID,Name,Email,Phone,Resume
351,Amara Phillips,amara.phillips.11202@gmail.com,175-182-6277,Name: Amara Phillips Email: amara.phillips.11202@gmail.com Phone: 536-802-2768  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through innovative lesson planning  nurturing classroom environments  and strong collaboration with parents and colleagues. Committed to inspiring young minds and creating a foundation for lifelong learning.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented engaging  age-appropriate lesson plans that spark curiosity and creativity in young learners. - Cultivated a supportive classroom atmosphere  promoting social-emotional growth and positive behavior through interactive activities. - Built strong partnerships with parents  providing regular updates on student progress and offering strategies for continued development at home.  Assistant Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Assisted lead teachers in preparing dynamic learning materials and organizing play-based activities that encouraged exploration and discovery. - Ensured a safe  inclusive  and stimulating environment where every child felt valued and supported. - Managed daily routines  including snack distribution and playtime supervision  with a focus on fostering independence and cooperation.  Skills: - Curriculum Design: Crafting innovative and developmentally appropriate educational programs. - Child Development Assessment: Monitoring and supporting individual growth milestones. - Conflict Resolution: Mediating disputes and teaching children effective problem-solving skills. - Collaboration with Families: Building trust and open communication with parents to enhance student success.  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
352,Kehlani Jackson,kehlani.jackson.10@gmail.com,661-829-6327,Name: Kehlani Jackson Email: kehlani.jackson.10@gmail.com Phone: 167-229-5505  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative educational activities  and effective classroom management. Adept at building strong relationships with parents and colleagues to create a supportive and enriching learning environment for young minds.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented engaging  age-appropriate lesson plans that sparked curiosity and creativity in young learners - Cultivated a nurturing classroom atmosphere that promoted social skills  emotional growth  and positive behavior - Established open and effective communication channels with parents  providing regular updates on student progress and milestones  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Collaborated with lead teachers to prepare materials and facilitate interactive play-based learning activities - Ensured a safe  inclusive  and stimulating environment for children to explore and thrive - Managed daily routines  including snack distribution and playtime supervision  with a focus on safety and well-being  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Behavior Management - Family Engagement and Collaboration  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
353,Lyla Kim,lyla.kim.10@gmail.com,540-201-2874,Name: Lyla Kim Email: lyla.kim.5232@gmail.com Phone: 643-401-8433  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through innovative lesson planning  nurturing classroom environments  and strong collaboration with parents and colleagues. Committed to inspiring young minds and creating a foundation for lifelong learning.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented engaging  age-appropriate educational activities that sparked curiosity and creativity in young learners - Cultivated a supportive classroom atmosphere that encouraged social-emotional growth and positive behavior - Built strong partnerships with parents through regular communication and progress updates  ensuring a collaborative approach to student development  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Assisted lead teachers in preparing dynamic learning materials and facilitating interactive play-based activities - Championed a safe  inclusive  and stimulating environment where every child felt valued and supported - Managed daily routines  including snack distribution and playtime supervision  with a focus on safety and engagement  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Behavioral Guidance - Family Collaboration and Communication  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
354,Reagan Wood,reagan.wood.11202@gmail.com,333-523-6553,Name: Reagan Wood Email: reagan.wood.22011@gmail.com Phone: 998-887-4522  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative teaching methods  and effective classroom management. Adept at building strong relationships with parents and colleagues to create a supportive and enriching learning environment for young minds.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented engaging  age-appropriate educational activities that sparked curiosity and creativity in young learners. - Cultivated a nurturing classroom atmosphere that promoted social development  emotional growth  and positive behavior. - Maintained open and effective communication with parents  providing regular updates on student progress and milestones.  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Assisted lead teachers in preparing educational materials and organizing interactive play activities that encouraged learning through exploration. - Ensured a safe  inclusive  and welcoming environment for all children  fostering a sense of belonging and security. - Managed daily routines  including snack distribution and playtime supervision  with a focus on safety and engagement.  Skills: - Curriculum Design - Child Development Assessment - Conflict Resolution - Collaboration with Families  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
355,Rylee Phillips,rylee.phillips.22011@gmail.com,420-781-5176,Name: Rylee Phillips Email: rylee.phillips.1221@gmail.com Phone: 525-847-2557  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative classroom management  and collaborative partnerships with parents and colleagues. Committed to creating a nurturing and stimulating environment where young learners thrive.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented engaging  age-appropriate lesson plans that sparked curiosity and creativity in young minds. - Cultivated a positive classroom atmosphere  promoting social-emotional growth and encouraging cooperative behavior. - Built strong relationships with parents through regular updates and constructive feedback on student progress and milestones.  Assistant Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Assisted lead teachers in preparing dynamic learning materials and organizing interactive play activities. - Ensured a safe  inclusive  and welcoming environment for all children  fostering a sense of belonging and confidence. - Managed daily routines  including snack distribution and playtime supervision  with a focus on safety and engagement.  Skills: - Curriculum Design: Crafting innovative and developmentally appropriate learning experiences. - Child Development Assessment: Monitoring and supporting individual growth and milestones. - Conflict Resolution: Mediating disputes and teaching children effective communication skills. - Collaboration with Families: Partnering with parents to create a cohesive support system for each child.  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
356,Ariana Martin,ariana.martin.2211@gmail.com,195-542-2582,Name: Ariana Martin Email: ariana.martin.2211@gmail.com Phone: 803-585-2099  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through innovative lesson planning  nurturing classroom environments  and strong collaboration with parents and colleagues. Committed to inspiring young minds and creating a foundation for lifelong learning.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented engaging  age-appropriate educational activities that sparked curiosity and creativity in young learners - Cultivated a positive classroom atmosphere  promoting social skills  emotional growth  and cooperative behavior - Built strong partnerships with parents through regular updates and constructive feedback on student progress and milestones  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Assisted lead teachers in preparing dynamic learning materials and organizing interactive play sessions - Ensured a safe  inclusive  and stimulating environment for all children - Managed daily routines  including snack distribution and playtime supervision  with a focus on safety and engagement  Skills: - Curriculum Design: Crafting tailored lesson plans that align with developmental milestones - Child Development Assessment: Monitoring and evaluating growth across cognitive  social  and emotional domains - Conflict Resolution: Mediating disputes and fostering a harmonious classroom dynamic - Collaboration with Families: Building trust and open communication with parents to support student success  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
357,Phoebe Patel,phoebe.patel.11@gmail.com,700-675-6400,Name: Phoebe Patel Email: phoebe.patel.5232@gmail.com Phone: 481-931-3131  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative teaching methods  and effective classroom management. Adept at building strong relationships with parents and colleagues to create a supportive and enriching learning environment. Committed to nurturing young minds and inspiring a lifelong love of learning.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented engaging  age-appropriate lesson plans that sparked curiosity and creativity in young learners - Cultivated a nurturing classroom atmosphere that promoted social-emotional growth and positive behavior - Built strong partnerships with parents through regular communication and progress updates  ensuring a collaborative approach to each child's development  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Collaborated with lead teachers to prepare materials and facilitate interactive  hands-on learning experiences - Ensured a safe  inclusive  and stimulating environment for children to explore and grow - Managed daily routines  including snack time and playtime  with a focus on fostering independence and cooperation  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Behavior Management - Effective Communication and Collaboration with Families  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
358,Bailey Thomas,bailey.thomas.12@gmail.com,714-419-6761,Name: Bailey Thomas Email: bailey.thomas.11@gmail.com Phone: 520-462-7929  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative teaching methods  and effective classroom management. Adept at building strong relationships with parents and colleagues to create a supportive and enriching learning environment for young minds.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented engaging  age-appropriate educational activities that sparked curiosity and creativity in young learners - Cultivated a nurturing classroom atmosphere that promoted social development  emotional growth  and positive behavior - Maintained open and effective communication with parents  providing regular updates on student progress and milestones  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Assisted lead teachers in preparing materials and organizing interactive play activities that encouraged exploration and learning - Ensured a safe  inclusive  and stimulating environment for all children  fostering a sense of belonging and security - Managed daily routines  including snack distribution and playtime supervision  with a focus on safety and well-being  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Behavior Management - Collaborative Family Engagement and Communication  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
359,Ellie Kelly,ellie.kelly.1232@gmail.com,967-210-6736,Name: Ellie Kelly Email: ellie.kelly.11202@gmail.com Phone: 619-317-3535  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with over 8 years of experience fostering early childhood development through innovative lesson planning and nurturing classroom environments. Expertise in structured curriculum design  child psychology  and collaborative parent-teacher communication to support holistic student growth. Committed to creating engaging  inclusive  and developmentally appropriate learning experiences that inspire curiosity and confidence in young learners.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented dynamic  hands-on lesson plans tailored to individual learning styles  fostering cognitive  emotional  and social growth. - Cultivated a positive classroom culture by promoting empathy  cooperation  and self-expression through interactive group activities and creative play. - Built strong partnerships with parents through regular progress updates  workshops  and collaborative goal-setting to enhance student development. - Spearheaded eco-friendly initiatives  integrating sustainability themes into daily lessons to instill environmental awareness in young minds.  Assistant Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Collaborated with lead teachers to prepare engaging educational materials and oversee structured play sessions  ensuring a seamless learning experience. - Championed a safe and inclusive environment by addressing conflicts with patience and empathy  fostering a sense of belonging among students. - Managed daily routines  including snack distribution and outdoor play supervision  while prioritizing health and safety protocols.  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Emotional Support - Collaborative Family Engagement - Eco-Education and Sustainability Integration - Multilingual Communication (English  German  French)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about integrating art  music  and nature into early childhood education - Strong advocate for inclusive and equitable learning environments
360,Sage Mitchell,sage.mitchell.1232@gmail.com,926-539-1430,Name: Sage Mitchell Email: sage.mitchell.10@gmail.com Phone: 217-880-5564  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with over 8 years of experience fostering early childhood development through innovative lesson planning  nurturing classroom environments  and strong parent-teacher collaboration. Adept at creating engaging  age-appropriate activities that inspire curiosity  social growth  and lifelong learning in young minds.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented dynamic  hands-on lesson plans tailored to individual learning styles  sparking creativity and cognitive growth in children aged 3-5. - Cultivated a positive classroom culture by promoting empathy  teamwork  and problem-solving skills through interactive group activities. - Built strong partnerships with parents through regular progress updates  workshops  and collaborative goal-setting to support each child’s development. - Integrated eco-friendly practices into daily routines  teaching children the importance of sustainability and environmental stewardship.  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Assisted lead teachers in creating a vibrant  inclusive learning environment by preparing materials  organizing activities  and ensuring safety during playtime. - Monitored and guided children during snack breaks and outdoor play  fostering independence and healthy habits. - Contributed to the development of sensory-based learning tools that enhanced fine motor skills and cognitive engagement.  Skills: - Curriculum Design and Implementation - Child Development Assessment and Individualized Learning Plans - Conflict Resolution and Emotional Support - Collaborative Family Engagement and Communication - Multilingual Proficiency (English  German  French)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about integrating nature and sustainability into early education - Certified in First Aid and CPR for young children
