ID,Name,Email,Phone,Resume
301,Jude Ramos,jude.ramos.2211@gmail.com,657-330-3441,Name: Jude Ramos Email: jude.ramos.22011@gmail.com Phone: 777-923-4241  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with over 8 years of experience fostering early childhood development through innovative lesson planning  nurturing classroom environments  and collaborative partnerships with parents and colleagues. Adept at creating engaging  age-appropriate activities that inspire curiosity  social growth  and a love for learning.  Education: - Bachelor of Arts in Early Childhood Education | Zurich University of Applied Sciences - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher | Children's Eco Play Center | Zurich  Switzerland | January 2015 – Present - Designed and implemented dynamic  hands-on lesson plans that align with developmental milestones and promote creativity  critical thinking  and emotional intelligence. - Cultivated a positive classroom culture by modeling empathy  respect  and inclusivity  resulting in improved social interactions among students. - Built strong relationships with parents through regular progress updates  workshops  and collaborative goal-setting to support each child’s unique growth journey. - Spearheaded eco-friendly initiatives  integrating sustainability themes into daily activities to inspire environmental awareness in young learners.  Assistant Teacher | Children's Eco Play Center | Zurich  Switzerland | January 2014 – January 2015 - Collaborated with lead teachers to prepare engaging materials and activities  ensuring a seamless and enriching learning experience for all students. - Maintained a safe  welcoming  and inclusive environment by closely supervising playtime and addressing conflicts with patience and effective resolution strategies. - Supported daily routines  including snack distribution and transitions  to foster independence and self-regulation in children.  Skills: - Curriculum Design & Development - Child Development Assessment & Monitoring - Conflict Resolution & Emotional Support - Family Engagement & Communication - Eco-Education & Sustainability Integration  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Fluent in English  German  and Spanish - Certified in First Aid and CPR for Children
302,Wesley Jackson,wesley.jackson.10@gmail.com,866-944-5728,Name: Wesley Jackson Email: wesley.jackson.12@gmail.com Phone: 173-161-3718  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative teaching methods  and collaborative classroom management. Adept at creating engaging  age-appropriate learning experiences that inspire curiosity and growth. Skilled in building strong relationships with parents and colleagues to support holistic student development.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented dynamic  hands-on lesson plans tailored to individual learning styles  sparking creativity and cognitive growth. - Cultivated a nurturing classroom environment that promoted social-emotional development and positive behavior through interactive group activities. - Partnered with parents through regular updates and workshops  ensuring alignment between home and school to maximize student potential.  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Collaborated with lead teachers to prepare engaging educational materials and oversee play-based learning activities. - Championed a safe  inclusive  and stimulating environment where children could explore and thrive. - Managed daily routines  including snack distribution and playtime supervision  ensuring a seamless and enjoyable experience for all students.  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Behavioral Guidance - Collaborative Communication with Families and Colleagues  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
303,Adriel Thomas,adriel.thomas.12@gmail.com,612-652-9090,Name: Adriel Thomas Email: adriel.thomas.22011@gmail.com Phone: 579-805-5982  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative classroom management  and collaborative partnerships with parents and colleagues. Committed to creating a nurturing and stimulating environment where young learners thrive academically  socially  and emotionally.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented engaging  age-appropriate lesson plans that spark curiosity and creativity in young minds. - Cultivated a positive classroom culture by promoting social-emotional development and reinforcing positive behaviors. - Built strong relationships with parents through regular communication  progress updates  and collaborative goal-setting for student growth.  Assistant Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Assisted lead teachers in preparing dynamic learning materials and facilitating interactive play-based activities. - Ensured a safe  inclusive  and welcoming environment for all children  fostering a sense of belonging and confidence. - Managed daily routines  including snack distribution and playtime supervision  while prioritizing child safety and well-being.  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Behavior Management - Family Engagement and Collaborative Communication - Multilingual Proficiency (English  German  French)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about sustainability and integrating eco-friendly practices into early education - Certified in First Aid and CPR for young children
304,Adriel Hernandez,adriel.hernandez.10@gmail.com,356-126-2496,Name: Adriel Hernandez Email: adriel.hernandez.1221@gmail.com Phone: 712-140-8078  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative classroom management  and collaborative partnerships with parents and colleagues. Committed to creating a nurturing and stimulating environment where young learners thrive.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented engaging  age-appropriate lesson plans that sparked curiosity and creativity in young minds - Cultivated a positive classroom culture  promoting social-emotional growth and conflict resolution skills - Built strong relationships with parents through regular communication and progress updates  ensuring a collaborative approach to each child's development  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Assisted lead teachers in preparing dynamic learning materials and facilitating interactive play-based activities - Ensured a safe  inclusive  and welcoming environment for all children - Managed daily routines  including snack distribution and playtime supervision  with a focus on fostering independence and cooperation  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Behaviour Management - Effective Communication and Collaboration with Families  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
305,Nathan Gray,nathan.gray.10@gmail.com,141-881-3870,Name: Nathan Gray Email: nathan.gray.12@gmail.com Phone: 956-981-1339  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with over 8 years of experience fostering early childhood development through structured lesson planning  innovative teaching methods  and collaborative classroom management. Adept at creating engaging  age-appropriate activities that inspire curiosity and growth. Skilled in building strong relationships with parents and colleagues to support holistic student development.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented dynamic  hands-on lesson plans that promote cognitive  social  and emotional growth in young learners. - Cultivated a nurturing classroom environment that encouraged positive behavior and peer collaboration. - Regularly communicated with parents through detailed progress reports and constructive feedback  fostering strong home-school partnerships.  Assistant Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Assisted lead teachers in preparing engaging educational materials and organizing interactive play activities. - Ensured a safe  inclusive  and stimulating environment for children to explore and learn. - Managed daily routines  including snack distribution and playtime supervision  with a focus on safety and well-being.  Skills: - Curriculum Design: Crafting innovative and developmentally appropriate lesson plans. - Child Development Assessment: Monitoring and supporting individual growth milestones. - Conflict Resolution: Mediating disputes and fostering emotional intelligence in young learners. - Collaboration with Families: Building trust and open communication with parents and guardians.  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable) - Fluent in English and German  with a passion for multicultural education and inclusive teaching practices.
306,Milo Gutierrez,milo.gutierrez.10@gmail.com,546-750-9056,Name: Milo Gutierrez Email: milo.gutierrez.1122@gmail.com Phone: 767-552-5557  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative classroom management  and collaborative partnerships with parents and colleagues. Committed to creating a nurturing and stimulating environment where young learners thrive.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented engaging  age-appropriate educational activities that sparked curiosity and creativity in young learners. - Cultivated a positive classroom culture by promoting social development  emotional intelligence  and cooperative behavior. - Built strong relationships with parents through regular communication  sharing insights on student progress and milestones.  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Assisted lead teachers in preparing dynamic learning materials and facilitating interactive play-based activities. - Ensured a safe  inclusive  and supportive environment for all children  fostering a sense of belonging and confidence. - Managed daily routines  including snack distribution and playtime supervision  with a focus on safety and engagement.  Skills: - Curriculum Design: Crafting innovative and developmentally appropriate lesson plans. - Child Development Assessment: Monitoring and supporting individual growth milestones. - Conflict Resolution: Mediating disputes and teaching problem-solving skills. - Collaboration with Families: Partnering with parents to enhance student success.  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
307,Luca Stewart,luca.stewart.2211@gmail.com,978-264-6403,Name: Luca Stewart Email: luca.stewart.1221@gmail.com Phone: 456-518-6460  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative teaching methods  and effective classroom management. Adept at creating engaging  age-appropriate learning experiences that inspire curiosity and growth. Skilled in building strong partnerships with parents and colleagues to support each child’s unique journey.  Education: - Bachelor of Arts in Early Childhood Education | Zurich University of Applied Sciences - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher | Children's Eco Play Center | Zurich  Switzerland | January 2015 – Present - Designed and implemented dynamic  hands-on lesson plans tailored to individual learning styles  sparking creativity and cognitive growth. - Cultivated a nurturing classroom environment that promoted social-emotional development and positive behavior through interactive group activities. - Built strong relationships with parents through regular progress updates  workshops  and collaborative goal-setting to enhance student success.  Assistant Teacher | Children's Eco Play Center | Zurich  Switzerland | January 2014 – January 2015 - Collaborated with lead teachers to prepare engaging educational materials and oversee play-based learning activities  ensuring a seamless classroom experience. - Championed a safe  inclusive  and stimulating environment where children could explore  learn  and thrive. - Managed daily routines  including snack distribution and playtime supervision  while fostering independence and teamwork among students.  Skills: - Curriculum Design & Implementation - Child Development Assessment & Monitoring - Conflict Resolution & Emotional Support - Family Collaboration & Communication - Multilingual Proficiency (English  German  French)  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Passionate about sustainability and integrating eco-friendly practices into early education - Certified in First Aid and Child Safety Protocols
308,Myles Ruiz,myles.ruiz.11@gmail.com,565-190-6153,Name: Myles Ruiz Email: myles.ruiz.5232@gmail.com Phone: 607-395-7561  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with a proven track record of fostering early childhood development through structured lesson planning  innovative classroom management  and a deep understanding of child psychology. Adept at creating engaging  age-appropriate learning experiences that inspire curiosity and growth. Skilled in building strong partnerships with parents and colleagues to support each child’s unique journey.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Play-Based Learning Strategies  Experience: Preschool Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented dynamic  hands-on lesson plans that promote cognitive  social  and emotional development - Cultivated a nurturing classroom environment where children feel safe  valued  and empowered to explore - Built strong relationships with parents through regular updates  progress reports  and collaborative goal-setting - Spearheaded eco-friendly initiatives  integrating sustainability into daily activities and teaching children about environmental stewardship  Assistant Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Collaborated with lead teachers to prepare engaging materials and activities that align with educational objectives - Ensured a safe  inclusive  and stimulating environment for children to learn and play - Monitored children during playtime and snack breaks  fostering positive interactions and resolving conflicts with empathy - Supported the implementation of creative  play-based learning strategies to enhance developmental outcomes  Skills: - Curriculum Design and Development - Child Development Assessment and Monitoring - Conflict Resolution and Emotional Support - Family Engagement and Communication - Eco-Education and Sustainability Integration  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Fluent in English and German  with basic proficiency in French - Passionate about fostering creativity  curiosity  and lifelong learning in young minds
309,Andrew Adams,andrew.adams.11@gmail.com,773-990-9889,Name: Andrew Adams Email: andrew.adams.5232@gmail.com Phone: 218-891-7622  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with over 9 years of experience fostering early childhood development through structured lesson planning  innovative educational activities  and effective classroom management. Adept at building strong relationships with parents and colleagues to create a supportive and enriching environment for student growth. Committed to nurturing social  emotional  and cognitive development in young learners.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2015 – Present - Designed and implemented engaging  age-appropriate lesson plans that sparked curiosity and creativity in young learners. - Cultivated a positive classroom atmosphere by promoting social skills  emotional intelligence  and cooperative play. - Built strong partnerships with parents through regular updates  progress reports  and collaborative goal-setting for student success. - Integrated eco-friendly practices and nature-based learning into daily activities to inspire environmental awareness.  Assistant Teacher  Children's Eco Play Center  Zurich  Switzerland | January 2014 – January 2015 - Assisted lead teachers in preparing educational materials and organizing interactive play sessions to enhance learning experiences. - Ensured a safe  inclusive  and nurturing environment for all children  fostering a sense of belonging and confidence. - Supervised snack times and outdoor play  prioritizing safety while encouraging exploration and teamwork.  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Behavior Management - Collaborative Communication with Families and Colleagues - Eco-Conscious and Nature-Based Teaching Practices  Additional Information: - Availability: Immediate - Willing to travel or relocate for the right opportunity - Fluent in English and German  with basic proficiency in French - Passionate about integrating sustainability and outdoor learning into early education
310,Harrison Evans,harrison.evans.10@gmail.com,874-610-8242,Name: Harrison Evans Email: harrison.evans.1221@gmail.com Phone: 155-292-9494  Role Title: Preschool Teacher City/Location: Zurich  Switzerland  Summary: Passionate and dedicated preschool teacher with over 8 years of experience fostering early childhood development through structured lesson planning  innovative teaching methods  and collaborative classroom management. Adept at creating engaging  age-appropriate learning environments that inspire curiosity and growth. Skilled at building strong relationships with parents and colleagues to support holistic student development.  Education: - Bachelor of Arts in Early Childhood Education - Relevant coursework: Child Psychology  Educational Theories  Classroom Management  Experience: Preschool Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2015] – [present]  - Designed and implemented dynamic  hands-on educational activities tailored to individual learning styles and developmental stages - Cultivated a nurturing classroom environment that promoted social-emotional growth and positive behavior - Built strong partnerships with parents through regular communication and progress updates  ensuring alignment between home and school  Assistant Teacher  Children's Eco Play Center  [Zurich  Switzerland] | [January  2014] – [January  2015]  - Collaborated with lead teachers to prepare engaging materials and facilitate interactive play-based learning experiences - Ensured a safe  inclusive  and stimulating environment for all children - Managed daily routines  including snack distribution and playtime supervision  with a focus on safety and well-being  Skills: - Curriculum Design and Implementation - Child Development Assessment and Monitoring - Conflict Resolution and Behavior Management - Effective Communication and Collaboration with Families  Additional Information: - Availability: Immediate - Willing to travel or relocate (if applicable)
